job_name,learning_rate,epochs,batch_size,hidden_size,num_layers,bidirectional,avg_train_loss,avg_val_loss,avg_mask2_coverage,avg_mask2_accuracy
job_1,0.001,40,16,64,1,True,0.5678212119930093,0.7762065193869851,0.4204492741380464,0.5044156894784071
job_2,0.001,40,16,64,1,False,0.7466957856868875,0.5999978908083655,0.2706743687915035,0.3300685506072723
job_3,0.001,40,16,64,2,True,0.5599473536014556,0.6513941697098993,0.4292146482376463,0.5024407307695109
job_4,0.001,40,16,64,2,False,0.6997566953472708,0.6619132171977651,0.2698670078663531,0.3212106180482519
job_5,0.001,40,16,64,3,True,0.6094272227807978,0.5328751843083989,0.39899651888986376,0.466732179244298
job_6,0.001,40,16,64,3,False,0.7013965512144156,0.5805235635150563,0.29284667751345106,0.35750096829480815
job_7,0.001,80,16,64,1,True,0.536718807343779,0.6399821178479629,0.3968920599433095,0.4590658466707508
job_8,0.001,80,16,64,1,False,0.6679087943729313,0.6256418526172638,0.3407310144298904,0.41509067254423815
job_9,0.001,80,16,64,2,True,0.37444812802747746,0.5544800765135072,0.48398479958849566,0.5478444099808062
job_10,0.001,80,16,64,2,False,0.592193824395366,0.47706447352062564,0.36052745416706083,0.41588611565565137
job_11,0.001,80,16,64,3,True,0.4963366551645871,0.4377622836015441,0.5896569512907972,0.646799902190617
job_12,0.001,80,16,64,3,False,0.6687598288744345,0.5453010531989012,0.3282741646893674,0.3885364949887446
job_13,0.001,100,16,64,1,True,0.3823289014484691,0.3551574492996389,0.6382806537752279,0.7007836811231725
job_14,0.001,100,16,64,1,False,0.5663616016678427,0.49121537560766393,0.49356156030485787,0.5561046306283767
job_15,0.001,100,16,64,2,True,0.28106245299180344,0.3142221076921984,0.6956840790788963,0.7625722829585001
job_16,0.001,100,16,64,2,False,0.680152515090745,0.6745392520319332,0.25046537126793195,0.29969655909770176
job_17,0.001,100,16,64,3,True,0.4350616668147603,0.3560728112404997,0.6588379682290938,0.7216316284649313
job_18,0.001,100,16,64,3,False,0.6301644474610515,0.5330753876404328,0.5116523027408129,0.5744457281264931
job_19,0.001,40,16,128,1,True,0.41347091598757374,0.38685775290835983,0.6621435430246848,0.7227016732053297
job_20,0.001,40,16,128,1,False,0.5727770227810431,0.4977966414256529,0.5714076734995512,0.6389295117657963
job_21,0.001,40,16,128,2,True,0.3582943167494631,0.5128448995676907,0.5748769014215416,0.6569396065667994
job_22,0.001,40,16,128,2,False,0.6201000404083865,0.6844124718145891,0.3407324919574564,0.4044451577973425
job_23,0.001,40,16,128,3,True,0.34942086798021166,0.43218744979663326,0.5947881202731433,0.6634523781094719
job_24,0.001,40,16,128,3,False,0.6028553768136036,0.51931734085083,0.5121801090229358,0.5760734129912555
job_25,0.001,80,16,128,1,True,0.32369376503188035,0.3053743626583706,0.6998430506241133,0.7729059954332731
job_26,0.001,80,16,128,1,False,0.4170753315262411,0.8056830644607544,0.4892383666841649,0.5578007438414562
job_27,0.001,80,16,128,2,True,0.250756149970252,0.3474925528873097,0.6869985830463932,0.7508082286023685
job_28,0.001,80,16,128,2,False,0.3412573326935714,0.3512943737886169,0.6869895695714634,0.7508008520716956
job_29,0.001,80,16,128,3,True,0.41725401645419236,0.37155697968873114,0.6153148798453186,0.6764805341471565
job_30,0.001,80,16,128,3,False,0.45965637311168106,0.3528464333577589,0.68210169793335,0.7557506077737293
job_31,0.001,100,16,128,1,True,0.27596438259914,0.3085556676441973,0.7046561852687541,0.7677892701657923
job_32,0.001,100,16,128,1,False,0.37372720501888756,0.362970790673386,0.6715432695767303,0.7353509636349336
job_33,0.001,100,16,128,2,True,0.23506575918745726,0.3123388968408108,0.696149178432645,0.764952550434135
job_34,0.001,100,16,128,2,False,0.3443537686062955,0.36627943922172895,0.6719746477534687,0.7357805914773982
job_35,0.001,100,16,128,3,True,0.3142591703212124,0.27702211453156045,0.6921995435017851,0.7609426743180137
job_36,0.001,100,16,128,3,False,0.3798703034376276,0.35896096324378796,0.6885041314617364,0.7666376208456135
job_37,0.001,40,16,256,1,True,0.3377802176722165,0.28038198162208905,0.694251967153994,0.7617038579906098
job_38,0.001,40,16,256,1,False,0.35032132829742874,0.3153901472687721,0.6970326215112663,0.771570965418561
