job_name,learning_rate,epochs,batch_size,hidden_size,num_layers,bidirectional,avg_train_loss,avg_val_loss,avg_mask2_coverage,avg_mask2_accuracy
job_1,0.001,40,8,64,1,True,0.4717248471303918,0.3618253216147423,0.5773919201437752,0.6442860097541011
job_2,0.001,40,8,64,1,False,0.6948466875772367,0.5649500260298902,0.2663919709723515,0.32863864253996017
job_3,0.001,40,8,64,2,True,0.4420810201558574,0.41107687211849475,0.6029265131298402,0.6699951182121227
job_4,0.001,40,8,64,2,False,0.6441009220378151,0.5608505261215297,0.2965266564965846,0.33650852420887906
job_5,0.001,40,8,64,3,True,0.3729984051023406,0.30026648213917556,0.6882357581156912,0.7614096974804776
job_6,0.001,40,8,64,3,False,0.6611229323450176,0.5244076644832438,0.36040852446182836,0.4226705287904502
job_7,0.001,80,8,64,1,True,0.3486356347970579,0.299995347823609,0.6982241949786712,0.7642892011898859
job_8,0.001,80,8,64,1,False,0.5885746231024293,0.5347926599058238,0.4383742501504303,0.49955793511014984
job_9,0.001,80,8,64,2,True,0.26022642297648835,0.33892749100923536,0.6986942832931161,0.7718562619048202
job_10,0.001,80,8,64,2,False,0.4542543117684879,0.399902184646238,0.5970965713740639,0.6595217824326117
job_11,0.001,80,8,64,3,True,0.37095368019808295,0.284409917823293,0.7004275410808911,0.7663198105221393
job_12,0.001,80,8,64,3,False,0.5228787814063587,0.41905576220967555,0.5463762830277814,0.6087530231425052
job_13,0.001,100,8,64,1,True,0.37621603243309876,0.5048280219462785,0.538622953617774,0.6385093782686693
job_14,0.001,100,8,64,1,False,0.4860386760070406,0.4100658205422488,0.5708268937392622,0.6301631985367889
job_15,0.001,100,8,64,2,True,0.233465297194733,0.21950425905260174,0.711362274059742,0.7688548371996924
job_16,0.001,100,8,64,2,False,0.48852315962999715,0.3596724732355638,0.6487670064707217,0.7161195337675823
job_17,0.001,100,8,64,3,True,0.3366585577185127,0.26830837902697646,0.7035007516160142,0.7749114683742626
job_18,0.001,100,8,64,3,False,0.48555867707934874,0.4495570759881627,0.5558722472252813,0.618842322797446
job_19,0.001,40,8,128,1,True,0.3234357366787976,0.30688538842580537,0.6826614032328885,0.7494832559953915
job_20,0.001,40,8,128,1,False,0.4334913494771925,0.3515504978597164,0.6741631077740301,0.7371805325934028
job_21,0.001,40,8,128,2,True,0.2838598980643284,0.43069273639809,0.657699585056355,0.7207700391261385
job_22,0.001,40,8,128,2,False,0.3985787984283491,0.5701174996115944,0.5925450676174325,0.6612069141954534
job_23,0.001,40,8,128,3,True,0.3820903226048097,0.2835586763241075,0.691967694740325,0.754213793042315
job_24,0.001,40,8,128,3,False,0.48478761949073307,0.4137933223762295,0.610310504681282,0.6728242676792593
job_25,0.001,80,8,128,1,True,0.25988062525960215,0.2718403125012463,0.6953280294764212,0.7570360902111998
job_26,0.001,80,8,128,1,False,0.35172903345919204,0.5044183563441038,0.6322942325673744,0.7007480224461451
job_27,0.001,80,8,128,2,True,0.23586701863798604,0.3144543786617843,0.701704512623578,0.773456550196318
job_28,0.001,80,8,128,2,False,0.2762723646115982,0.3336117702451619,0.6961306318974075,0.7628576720265181
job_29,0.001,80,8,128,3,True,0.3622302641128672,0.2894737025892193,0.6985087807803507,0.7713880324613946
job_30,0.001,80,8,128,3,False,0.3200666567717475,0.27480886300856416,0.6932542159296766,0.7614692413637125
job_31,0.001,100,8,128,1,True,0.33130362033843996,0.4842439283024181,0.6244562242433856,0.6901745619907903
job_32,0.001,100,8,128,1,False,0.35431948951606096,0.3994723102924499,0.6542444188904681,0.7277369551483759
job_33,0.001,100,8,128,2,True,0.2812965949462063,0.34120313115417955,0.6974178457522853,0.7652453026919551
job_34,0.001,100,8,128,2,False,0.2516653078982885,0.3647455836900256,0.6871749423034577,0.7502411096369217
job_35,0.001,100,8,128,3,True,0.33102531597532076,0.2861949397759004,0.7114671046222991,0.7857923901599669
job_36,0.001,100,8,128,3,False,0.3575513179959922,0.2623088118704882,0.6888943390232959,0.7519115435047204
job_37,0.001,40,8,256,1,True,0.3219160858156352,0.28944209705699575,0.6909329334455293,0.7529592148285823
job_38,0.001,40,8,256,1,False,0.3204160852165058,0.3157067969441414,0.6892958363525411,0.7523155102519932
job_39,0.001,40,8,256,2,True,0.37379358955498404,0.2866331684995781,0.6942191761980624,0.7620647825685223
job_40,0.001,40,8,256,2,False,0.4085481343426924,0.2725909988311204,0.6942177482535262,0.7620931622890612
job_41,0.001,40,8,256,3,True,0.3317968783364899,0.6206443237310106,0.6047957220675398,0.6661453404197154
job_42,0.001,40,8,256,3,False,0.34491487313276054,0.3577450286597013,0.6627541019284615,0.7301972846829672
job_43,0.001,80,8,256,1,True,0.25015114420789414,0.3193583252077753,0.6978080156719988,0.7716038725757038
job_44,0.001,80,8,256,1,False,0.27835702819043195,0.32345629293810235,0.6978235191612082,0.7643814534485187
job_45,0.001,80,8,256,2,True,0.2223925480554844,0.3116078112951734,0.6907490497989273,0.7587980896294935
job_46,0.001,80,8,256,2,False,0.27502117116732155,0.28189808028665453,0.69970739002963,0.7721387945565454
job_47,0.001,80,8,256,3,True,0.28439226768825243,0.2631115263158625,0.692583363393093,0.7533221633912942
job_48,0.001,80,8,256,3,False,0.34743735086301275,0.6702512886036527,0.5861377967193364,0.6474902523029324
job_49,0.001,100,8,256,1,True,0.2314982629456054,0.24039728235114705,0.7004115687927259,0.7574641529837178
job_50,0.001,100,8,256,1,False,0.26986160773312906,0.32029466581615534,0.6979508771112528,0.7637401335317411
job_51,0.001,100,8,256,2,True,0.2676052502260126,0.3065576055171815,0.7041811332533289,0.7819152999166658
